Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
22_07_2022,00:17:26,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,165.0,0.0,12.7
22_07_2022,00:17:28,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,178.0,0.0,12.7
22_07_2022,00:17:30,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,178.0,0.0,12.7
22_07_2022,00:17:32,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,171.0,0.0,12.7
22_07_2022,00:17:34,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,171.0,0.0,12.7
22_07_2022,00:17:36,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,171.0,0.0,12.7
22_07_2022,00:17:38,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,174.0,0.0,12.7
22_07_2022,00:17:40,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,174.0,0.0,12.7
22_07_2022,00:17:42,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,181.0,0.0,12.7
22_07_2022,00:17:44,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,181.0,0.0,12.7
22_07_2022,00:17:46,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,181.0,0.0,12.7
22_07_2022,00:17:48,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,172.0,0.0,12.7
22_07_2022,00:17:50,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,172.0,0.0,12.7
22_07_2022,00:17:52,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.3,172.0,0.0,12.7
22_07_2022,00:17:54,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:17:56,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:17:58,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:00,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:02,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:04,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:06,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:08,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:09,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:11,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
22_07_2022,00:18:13,1013.5,23.3,26.9,23.5,94.0,74.0,0.0,0.0,0.0,0.0,172.0,0.0,12.7
